sideEffects,price,drugName,dosageInfo,dosage,contraindications,warningsAndPrecautions,conditions,basicInfo,drugForm,StorageConditions,howToTake,otherPrecautions
"['Nausea, stomach upset, skin rash, acute toxicity may result in liver failure.', '\r\n\r\n\t']", Paracetamol,['A Cold (60ml)'],"['Adults: 0.5-1gm, 3-6 times daily max 4gm. Children: 15mg/kg/dose or 60mg/kg/24hr divided every 6 hrs. Maximum 5 doses SOS.\r\n\r\n\r\n']",['38.00'],['Hypersensitivity.'],"['\r\n\t', '  Caution should be exercised in patients with history of asthma, bleeding problems, growths in the nose, heart, kidney or liver disease, liver inflammation, high blood pressure, chickenpox, anxiety, trouble in sleeping, ulcers, stomach problems, stroke, Kawasaki syndrome, any allergy, who are taking other medications, during pregnancy and breastfeeding. ', '•\r\n\r\n Avoid alcohol consumption. ', '•\r\n\r\n\r\n It should not be used in children with infections such as flu, chickenpox or viral infections. ', '•\r\n\r\n\r\n Avoid large amount of caffeinated beverages while taking this medication. ', '•\r\n\r\n\r\n It may reduce platelet counts; avoid injury or bruising.\r\n\r\n']","['Amoebic Dysentery', 'Back Pain', 'Chikungunya ', 'Febrile Fits / Febrile Convulsions', 'Headache / Cephalgia', 'Piles', 'Skull Fractures', 'Torticollis']","['\r\n\t\t\t', ' is a non-opiate, analgesic and antipyretic, prescribed for headache, pain (muscle ache, backache) and fever either alone or combined with other medications.\r\n\r\n \r\n\xa0It changes the way the body senses pain and cools the body.\r\n   \r\n\t\t\t  \r\n\t    \r\n\t\t\t  \r\n\t\t\t  \r\n\t', '\r\n', '\r\n\t', ""\r\n\t\r\nIndia is the world's capital for quality medicines, be it pharmaceutical formulations, herbal medicines or nutraceuticals. Our Pharma Division deals only with the best, GMP certified generics and branded medication for the export market. All our products are supported by strict adherence to quality and analysis certification."", ' ', '. ', '\r\n\t']",Suspension   ,['Store it at room temperature.'],"['It comes as a tablet and liquid to take by mouth, with or without food.']",[' Avoid excess dosage.']
"['•', ':\r\n\r\n \r\nNausea, headache, sleeplessness, genital itching in women, dizziness, vaginal inflammation, diarrhea and vomiting. ', '\r\n\r\n\r\n•', ':\r\n\r\n\r\nWeakness, chills, uneasiness, extremity pain and nosebleed.  ', '\r\n\r\n•', ':\r\n\r\n\r\nHeart arrest, fluid retention, high blood pressure, low blood pressure, palpitations and dilatation of blood vessels. ', '\r\n\r\n•', ':\r\n\r\nIndigestion.  ', '\r\n\r\n\r\n•', ':\r\n\r\n\r\nBurning, irritation, pain and rash of the female genitalia, painful menstrual period, irregular periods, painful urination, urinary frequency and urinary retention. ', '\r\n\r\n \r\n•', ':\r\n\r\n\r\nJoint/muscle pain.  ', '\r\n\r\n•', ':\r\n\r\n\r\nSeizures, anxiety, cognitive change, depression, dream abnormality, emotion, hallucinations, tingling, fainting, unsteadiness, tremor and confusion. ', '\r\n\r\n•', ':\r\n\r\n\r\nIncreased thirst and weight loss. ', '\r\n\r\n•', ':\r\n\r\n\r\nRespiratory arrest, cough and runny nose.  ', '\r\n\r\n•', ':\r\n\r\n\r\nShock, increased sweating and hives. ', '\r\n\r\n•', ':\r\n\r\nHearing loss, ringing in the ear, and sensitivity to light. \r\n\r\n\r\n', '\r\n\r\n\t']", Ofloxacin,['A Flox TZ'],"['Adult- PO- The recommended dose range is 200 to 800 mg per day in divided doses. ', '\r\n\r\nEye drops- Instill 1-2 drops into affected eye(s) every 4 hours. \r\n']",['67.59'],['Hypersensitivity.'],"['\r\n\t', '  Caution should be exercised in patients with history of joint problems, rheumatoid arthritis, heart, kidney, or lung transplant; Alzheimer disease, seizures, stroke, central nervous system disorder, heart, liver, or kidney disease, decrease in blood minerals, any allergy, who are taking other medications, children, elderly, during pregnancy and breastfeeding. ', '•\r\n\r\n It may cause drowsiness, dizziness, or light-headedness, do not drive a car or operate machinery while taking this medication. ', '•\r\n\r\n\r\n Avoid exposure to sunlight. ', '•\r\n\r\n\r\n It may affect blood sugar level; monitor sugar level regularly. ', '•\r\n\r\n\r\n Avoid alcohol consumption. ', '•\r\n\r\n\r\n Avoid long-term use of this medication; otherwise it may cause secondary infection.\r\n\r\n']","['Acute Ear Infection', 'MRSA - The Super Bug', 'Pneumonia', 'Skin Disease', 'Skin Disorder', 'Typhoid and Paratyphoid Enteric Fevers']","['\r\n\t\t\t', ' is a fluoroquinolone antibiotic, prescribed for certain types of bacterial infections such as chronic bronchitis, pneumonia, skin and skin structure infections, and others.\xa0It  fights bacteria in the body. \r\n   \r\n\t\t\t  \r\n\t    \r\n\t\t\t  \r\n\t\t\t  \r\n\t', '\r\n', '\r\n\t', ""\r\n\t\r\nIndia is the world's capital for quality medicines, be it pharmaceutical formulations, herbal medicines or nutraceuticals. Our Pharma Division deals only with the best, GMP certified generics and branded medication for the export market. All our products are supported by strict adherence to quality and analysis certification."", ' ', '. ', '\r\n\t']",Tablet  ,['Store it at room temperature (25-30°C).'],"['It comes as a tablet to take by mouth, with or without food. ', '\r\n\r\nIt also comes as eye drops to instill into the affected eyes as directed by your physician.\r\n']",[' Avoid excess dosage.']
"['•', ':\r\nHeadache, inflammation of pharynx, abdominal pain, cough, drowsiness, diarrhea, nosebleed, asthma, nausea and vomiting. ', '\r\n\r\n\r\n•', ':\r\n\r\nLoss of appetite, flushing, increased salivation, urinary retention, dehydration, increased sugar, and thirst. ', '\r\n\r\n•', ':\r\n\r\nHeart failure, high blood pressure, fast heart rate, and palpitations. ', '\r\n\r\n•', ':\r\n\r\nIncoordination,  confusion, slurred speech, leg cramps, tingling, fainting, paralysis, tremor, twitching, visual defect, abnormal thinking, agitation, memory loss, sleeplessness and nervousness. ', '\r\n\r\n•', ':\r\n\r\nAbnormal liver function, aggravated tooth caries, constipation, indigestion, flatulence, stomach inflammation, piles, increased appetite, blood in stool,  rectal bleeding, mouth ulcer, tongue discoloration and  tongue swelling. ', '\r\n\r\n•', ':\r\n\r\nBladder inflammation, painful urination, blood in urine, urinary frequency, urinary incontinence, and urinary tract infection, painful menstrual period, irregular period, breast pain and vaginal inflammation. ', '\r\n\r\n•', ':\r\n\r\nDeafness, ear pain, ear damage, ringing in the ear, taste perversion, blindness and increased eye pressure. ', '\r\n\r\n\r\n•', ':\r\n\r\nMuscle weakness/pain, joint inflammation and joint pain. ', '\r\n\r\n\r\n•', ':\r\n\r\nLung inflammation, difficulty in breathing, increased sputum, pneumonia, respiratory disorder and upper respiratory tract infection. ', '\r\n\r\n•', ':\r\n\r\nPimples, hair loss, skin inflammation, eruption, dry skin, redness, itching, and hives.  ', '\r\n\r\n•', ':\r\n\r\nAccidental injury, weakness, back pain, chest pain, enlarged abdomen, face swelling, fever, hot flashes, increased weight, leg swelling, uneasiness, swelling in the extremities and rigors. ', '\r\n\r\n', '\r\n\r\n\t']", Cetirizine,['A Cet (60ml)'],['Adult: PO- The recommended dose is 10 mg once daily.'],['49.95'],['Hypersensitivity.'],"['\r\n\t', '  Caution should be exercised in patients with history of kidney or liver disease, any allergy, who are taking other medications, elderly, children, during pregnancy and breast-feeding. ', '•\r\n It may cause drowsiness, do not drive a car or operate machinery while taking this medication. ', '•\r\n\r\n \r\n Avoid alcohol consumption.\r\n']","['Allergic Rhinitis', 'Allergy', 'Hives', 'Pruritus']","['\r\n\t\t\t', ' is an antihistamine, prescribed for allergic reactions.\xa0It blocks the histamine action, which reduces allergy symptoms.\r\n   \r\n\t\t\t  \r\n\t    \r\n\t\t\t  \r\n\t\t\t  \r\n\t', '\r\n', '\r\n\t', ""\r\n\t\r\nIndia is the world's capital for quality medicines, be it pharmaceutical formulations, herbal medicines or nutraceuticals. Our Pharma Division deals only with the best, GMP certified generics and branded medication for the export market. All our products are supported by strict adherence to quality and analysis certification."", ' ', '. ', '\r\n\t']",Syrup   ,['Store it at room temperature (20-25°C).'],"['It comes as a tablet to take by mouth, with food.']",[' Avoid excess dosage. ']
"['Nausea, stomach upset, skin rash, acute toxicity may result in liver failure.', '\r\n\r\n\t']", Paracetamol,['A Cold (500+30+5)'],"['Adults: 0.5-1gm, 3-6 times daily max 4gm. Children: 15mg/kg/dose or 60mg/kg/24hr divided every 6 hrs. Maximum 5 doses SOS.\r\n\r\n\r\n']",['19.00'],['Hypersensitivity.'],"['\r\n\t', '  Caution should be exercised in patients with history of asthma, bleeding problems, growths in the nose, heart, kidney or liver disease, liver inflammation, high blood pressure, chickenpox, anxiety, trouble in sleeping, ulcers, stomach problems, stroke, Kawasaki syndrome, any allergy, who are taking other medications, during pregnancy and breastfeeding. ', '•\r\n\r\n Avoid alcohol consumption. ', '•\r\n\r\n\r\n It should not be used in children with infections such as flu, chickenpox or viral infections. ', '•\r\n\r\n\r\n Avoid large amount of caffeinated beverages while taking this medication. ', '•\r\n\r\n\r\n It may reduce platelet counts; avoid injury or bruising.\r\n\r\n']","['Amoebic Dysentery', 'Back Pain', 'Chikungunya ', 'Febrile Fits / Febrile Convulsions', 'Headache / Cephalgia', 'Piles', 'Skull Fractures', 'Torticollis']","['\r\n\t\t\t', ' is a non-opiate, analgesic and antipyretic, prescribed for headache, pain (muscle ache, backache) and fever either alone or combined with other medications.\r\n\r\n \r\n\xa0It changes the way the body senses pain and cools the body.\r\n   \r\n\t\t\t  \r\n\t    \r\n\t\t\t  \r\n\t\t\t  \r\n\t', '\r\n', '\r\n\t', ""\r\n\t\r\nIndia is the world's capital for quality medicines, be it pharmaceutical formulations, herbal medicines or nutraceuticals. Our Pharma Division deals only with the best, GMP certified generics and branded medication for the export market. All our products are supported by strict adherence to quality and analysis certification."", ' ', '. ', '\r\n\t']",Tablet  ,['Store it at room temperature.'],"['It comes as a tablet and liquid to take by mouth, with or without food.']",[' Avoid excess dosage.']
"['•', ':\r\n\r\nNervousness, excitability, restlessness, dizziness, weakness and sleeplessness. ', '\r\n\r\n\r\n•', ':\r\n\r\nDifficulty in breathing, fast heartbeat, palpitations, tremors, hallucinations, pain or burning during urination. \r\n\r\n', '\r\n\r\n\t']", Pseudoephedrine,['A Cold'],['Adult: PO- As HCl or sulfate: 60 mg 4-6 hourly. Max: 4-doses/24 hour. Extended release 120 mg 12 hourly or 240 mg 24 hourly.'],['19.00'],"['Contraindicated in patients with severe high blood pressure, children less than 12 years and hypersensitivity.\r\n\r\n\r\n']","['\r\n\t', '  Caution should be exercised in patients with history of high blood pressure, increased eye pressure, sugar, difficulty in urinating, thyroid or heart disease, intestinal blockage, during pregnancy and breastfeeding. ', '•\r\n\r\n\r\n It may cause dizziness, do not drive a car or operate machinery while taking this medication. ', '•\r\n\r\n\r\n Do not take appetite control medicines while taking this medication.\r\n\r\n\r\n\r\n']","['Allergic Rhinitis', 'Allergy', 'Allergy Eye Drops', 'Common Cold']","['\r\n\t\t\t', ' is a decongestant, prescribed for cold, allergic rhinitis and hay fever. It relieves stuffy nose, opens nasal airways and drains sinuses.\r\n\r\n\xa0   \r\n\t\t\t  \r\n\t    \r\n\t\t\t  \r\n\t\t\t  \r\n\t', '\r\n', '\r\n\t', ""\r\n\t\r\nIndia is the world's capital for quality medicines, be it pharmaceutical formulations, herbal medicines or nutraceuticals. Our Pharma Division deals only with the best, GMP certified generics and branded medication for the export market. All our products are supported by strict adherence to quality and analysis certification."", ' ', '. ', '\r\n\t']",Tablet  ,['Store it at room temperature.'],"['It comes as a tablet, capsule, and liquid to take by mouth, with or without food.']",[' Avoid excess dosage.']
"['IV- The recommended dose is 3.375 mg 4 times a day, for 7 to 10 days.  A higher initial dose of 4.5 mg 4 times a day may be used for more severe infections.  \r\n\r\n', '\r\n\r\n\t']", Piperacillin/Tazobactam,['Baclin'],"['It comes as a solution for injection, administered by a healthcare provider.']",['415.00'],"['\r\n\t', ' Caution should be exercised in patients with history of asthma; hay fever; or kidney, liver, or gastrointestinal disease (especially colitis), during pregnancy and breastfeeding.', '•\r\n\r\nRepeated electrolyte estimations may be needed especially in patients with low potassium levels.\r\n', '•\r\n\r\n\r\nMonitor blood functions regularly.\r\n']",['Continue to use this medication until the full prescribed amount is finished.'],"['Pneumonia', 'Vesico-Ureteric Reflux Causing UTI in Children']","[""\r\n\t\t\tThis combination medication is an antibacterial agent, prescribed for various infections such as Nosocomial pneumonia. It blocks the bacteria's cell wall growth, which kills the bacteria. Tazobactam inhibits the action of bacterial beta-lactamases. It is added to the extended spectrum beta-lactam antibiotic piperacillin. It broadens the spectrum of piperacillin by making it effective against organisms that express beta-lactamase and would normally degrade piperacillin. \xa0   \r\n\t\t\t  \r\n\t    \r\n\t\t\t  \r\n\t\t\t  \r\n\t"", '\r\n', '\r\n\t', ""\r\n\t\r\nIndia is the world's capital for quality medicines, be it pharmaceutical formulations, herbal medicines or nutraceuticals. Our Pharma Division deals only with the best, GMP certified generics and branded medication for the export market. All our products are supported by strict adherence to quality and analysis certification."", ' ', '. ', '\r\n\t']",Injection,[],['Hypersensitivity.\r\n\r\n'],[' Injection vials should be stored at (20-25°C) room temperature prior to reconstitution.']
"['Diarrhea, nausea, vomiting and hypersensitivity reactions.', '\r\n\r\n\t']", Cefetamet,['Bacirom -O (500 mg)'],"['The recommended dose for adults and children above 12 years:', '\r\n•  500 mg to 1 g to be taken twice daily.', '\r\n\r\nChlidren below 12 years:', '\r\n•  10mg/kg twice daily']",['103.52'],['Known hypersensitivity to cephalosporins.'],"['\r\n\t•  Caution should be exercised in diarrhea, intestinal inflammation, kidney impairment, liver disease, any allergy, who are taking other medications during pregnancy and breastfeeding.']","['Conjunctivitis', 'Otitis Media', 'Sinusitis', 'Tonsillitis']","['\r\n\t\t\t', ' is a cephalosporin antibiotic, prescribed for susceptible infections.\xa0It works by fighting against the bacteria in the body.\r\n   \r\n\t\t\t  \r\n\t    \r\n\t\t\t  \r\n\t\t\t  \r\n\t', '\r\n', '\r\n\t', ""\r\n\t\r\nIndia is the world's capital for quality medicines, be it pharmaceutical formulations, herbal medicines or nutraceuticals. Our Pharma Division deals only with the best, GMP certified generics and branded medication for the export market. All our products are supported by strict adherence to quality and analysis certification."", ' ', '. ', '\r\n\t']",Tablet  ,['•  Store it at room temperature.'],['•  Cefatamet is available in tablet or suspension form which has to be taken by mouth after food.'],['•  Avoid excess dosage.']
"['Diarrhea, nausea, vomiting and hypersensitivity reactions.', '\r\n\r\n\t']", Cefetamet,['Bacirom -O'],"['The recommended dose for adults and children above 12 years:', '\r\n•  500 mg to 1 g to be taken twice daily.', '\r\n\r\nChlidren below 12 years:', '\r\n•  10mg/kg twice daily']",['51.66'],['Known hypersensitivity to cephalosporins.'],"['\r\n\t•  Caution should be exercised in diarrhea, intestinal inflammation, kidney impairment, liver disease, any allergy, who are taking other medications during pregnancy and breastfeeding.']","['Conjunctivitis', 'Otitis Media', 'Sinusitis', 'Tonsillitis']","['\r\n\t\t\t', ' is a cephalosporin antibiotic, prescribed for susceptible infections.\xa0It works by fighting against the bacteria in the body.\r\n   \r\n\t\t\t  \r\n\t    \r\n\t\t\t  \r\n\t\t\t  \r\n\t', '\r\n', '\r\n\t', ""\r\n\t\r\nIndia is the world's capital for quality medicines, be it pharmaceutical formulations, herbal medicines or nutraceuticals. Our Pharma Division deals only with the best, GMP certified generics and branded medication for the export market. All our products are supported by strict adherence to quality and analysis certification."", ' ', '. ', '\r\n\t']",Tablet  ,['•  Store it at room temperature.'],['•  Cefatamet is available in tablet or suspension form which has to be taken by mouth after food.'],['•  Avoid excess dosage.']
"['•', ':\r\n\r\n\r\nRash, itching and hives. ', '\r\n\r\n\r\n•', ':\r\n\r\n\r\nNausea, vomiting, abdominal pain and diarrhea. ', '\r\n\r\n\r\n•', ':\r\n\r\n\r\nIncreased level of liver enzymes. ', '\r\n\r\n\r\n•', ':\r\n\r\n\r\nKidney inflammation/impairment. ', '\r\n\r\n\r\n•', ':\r\n\r\n\r\nDecrease in blood counts. ', '\r\n\r\n\r\n•', ':\r\n\r\n\r\nPain and swelling. ', '\r\n\r\n\r\n•', ':\r\n\r\n\r\nFever and epilepsy. ', '\r\n\r\n', '\r\n\r\n\t']", Cefpirome,['Bacirom (250 mg)'],['Adult: IV- The recommended dose is 1-2 g 12 hourly.'],['99.00'],['Hypersensitivity and bruising.'],"['\r\n\t', '  Caution should be exercised in patients with history of allergy to penicillin or to cephalosporin, kidney impairment, during pregnancy and lactation. ', '•\r\n\r\n']",[],"['\r\n\t\t\t', ' is a cephalosporin antibiotic, prescribed for susceptible infections.\r\n\r\n\xa0It works by fighting against the bacteria in the body.\r\n   \r\n\t\t\t  \r\n\t    \r\n\t\t\t  \r\n\t\t\t  \r\n\t', '\r\n', '\r\n\t', ""\r\n\t\r\nIndia is the world's capital for quality medicines, be it pharmaceutical formulations, herbal medicines or nutraceuticals. Our Pharma Division deals only with the best, GMP certified generics and branded medication for the export market. All our products are supported by strict adherence to quality and analysis certification."", ' ', '. ', '\r\n\t']",Injection,['Injection: Store below 25°C.'],"['It comes as a solution for injection, to be administered by a healthcare provider.']","[' Monitor kidney function, blood counts regularly while taking this medication. ', '\r\n\r\n']"
"['•', ': \r\n\r\nStinging, burning, irritation, itching and redness.\r\n\r\n', '\r\n\r\n\t']", Lactic acid,['Baclac'],['Apply this lotion over the affected area and rub the area thoroughly twice daily or as directed by your physician.\r\n\r\n'],['19.50'],['Hypersensitivity.'],"['\r\n\t', '  For external use only.', '•\r\n\r\n Caution needed for patients with history of any allergy; pregnancy and lactation.', '•\r\n\r\n']",['Skin Disorder'],"['\r\n\t\t\t', ' is a chemical compound, prescribed for dry skin (Xerosis). The cream works by increasing the water content in the skin making the skin softer.\r\n\r\n\xa0   \r\n\t\t\t  \r\n\t    \r\n\t\t\t  \r\n\t\t\t  \r\n\t', '\r\n', '\r\n\t', ""\r\n\t\r\nIndia is the world's capital for quality medicines, be it pharmaceutical formulations, herbal medicines or nutraceuticals. Our Pharma Division deals only with the best, GMP certified generics and branded medication for the export market. All our products are supported by strict adherence to quality and analysis certification."", ' ', '. ', '\r\n\t']",Tablet  ,['Store it at room temperature.\r\n\r\n'],"['It comes as a gel, cream and lotion to apply topically.']",['Wash your hands thoroughly after applying this medication.']
"['•', ':\r\n\r\n\r\nRash, itching and hives. ', '\r\n\r\n\r\n•', ':\r\n\r\n\r\nNausea, vomiting, abdominal pain and diarrhea. ', '\r\n\r\n\r\n•', ':\r\n\r\n\r\nIncreased level of liver enzymes. ', '\r\n\r\n\r\n•', ':\r\n\r\n\r\nKidney inflammation/impairment. ', '\r\n\r\n\r\n•', ':\r\n\r\n\r\nDecrease in blood counts. ', '\r\n\r\n\r\n•', ':\r\n\r\n\r\nPain and swelling. ', '\r\n\r\n\r\n•', ':\r\n\r\n\r\nFever and epilepsy. ', '\r\n\r\n', '\r\n\r\n\t']", Cefpirome,['Bacirom (1 gm)'],['Adult: IV- The recommended dose is 1-2 g 12 hourly.'],['340.00'],['Hypersensitivity and bruising.'],"['\r\n\t', '  Caution should be exercised in patients with history of allergy to penicillin or to cephalosporin, kidney impairment, during pregnancy and lactation. ', '•\r\n\r\n']",[],"['\r\n\t\t\t', ' is a cephalosporin antibiotic, prescribed for susceptible infections.\r\n\r\n\xa0It works by fighting against the bacteria in the body.\r\n   \r\n\t\t\t  \r\n\t    \r\n\t\t\t  \r\n\t\t\t  \r\n\t', '\r\n', '\r\n\t', ""\r\n\t\r\nIndia is the world's capital for quality medicines, be it pharmaceutical formulations, herbal medicines or nutraceuticals. Our Pharma Division deals only with the best, GMP certified generics and branded medication for the export market. All our products are supported by strict adherence to quality and analysis certification."", ' ', '. ', '\r\n\t']",Injection,['Injection: Store below 25°C.'],"['It comes as a solution for injection, to be administered by a healthcare provider.']","[' Monitor kidney function, blood counts regularly while taking this medication. ', '\r\n\r\n']"
"['•', ':\r\n\r\n\r\nRash, itching and hives. ', '\r\n\r\n\r\n•', ':\r\n\r\n\r\nNausea, vomiting, abdominal pain and diarrhea. ', '\r\n\r\n\r\n•', ':\r\n\r\n\r\nIncreased level of liver enzymes. ', '\r\n\r\n\r\n•', ':\r\n\r\n\r\nKidney inflammation/impairment. ', '\r\n\r\n\r\n•', ':\r\n\r\n\r\nDecrease in blood counts. ', '\r\n\r\n\r\n•', ':\r\n\r\n\r\nPain and swelling. ', '\r\n\r\n\r\n•', ':\r\n\r\n\r\nFever and epilepsy. ', '\r\n\r\n', '\r\n\r\n\t']", Cefpirome,['Bacirom'],['Adult: IV- The recommended dose is 1-2 g 12 hourly.'],['175.00'],['Hypersensitivity and bruising.'],"['\r\n\t', '  Caution should be exercised in patients with history of allergy to penicillin or to cephalosporin, kidney impairment, during pregnancy and lactation. ', '•\r\n\r\n']",[],"['\r\n\t\t\t', ' is a cephalosporin antibiotic, prescribed for susceptible infections.\r\n\r\n\xa0It works by fighting against the bacteria in the body.\r\n   \r\n\t\t\t  \r\n\t    \r\n\t\t\t  \r\n\t\t\t  \r\n\t', '\r\n', '\r\n\t', ""\r\n\t\r\nIndia is the world's capital for quality medicines, be it pharmaceutical formulations, herbal medicines or nutraceuticals. Our Pharma Division deals only with the best, GMP certified generics and branded medication for the export market. All our products are supported by strict adherence to quality and analysis certification."", ' ', '. ', '\r\n\t']",Injection,['Injection: Store below 25°C.'],"['It comes as a solution for injection, to be administered by a healthcare provider.']","[' Monitor kidney function, blood counts regularly while taking this medication. ', '\r\n\r\n']"
"['•', ':\r\n\r\n\r\nDiarrhea, loose or frequent stools, abdominal pain, nausea, stomach upset and flatulence. ', '\r\n\r\n\r\n•', ':\r\n\r\nSkin rashes, hives, fever, itching and facial swelling. ', '\r\n\r\n•', ':\r\n\r\nElevated liver enzymes level, jaundice and liver inflammation. ', '\r\n\r\n•', ':\r\n\r\nTransient elevations in BUN or creatinine levels and kidney failure. ', '\r\n\r\n•', ':\r\n\r\n Headache, dizziness and seizures. ', '\r\n\r\n•', ':\r\n \r\nDecrease in blood cell counts.', '\r\n\r\n•', ':\r\n \r\nGenital itching, vaginal inflammation/fungal infection and skin disorders. \r\n\r\n\r\n', '\r\n\r\n\t']", Cefixime,['Bacitrob'],"['Adult: PO- Susceptible infections- The recommended dose is 200-400 mg/day.', '  Uncomplicated gonorrhoea-  The recommended dose is 400 mg as a single dose.\r\n\r\n']",['65.00'],['Hypersensitivity.'],"['\r\n\t', '  Caution should be exercised in patients with history of diarrhea, stomach or bowel problems (eg, inflammation), bleeding or blood clotting problems, kidney or liver problems, poor nutrition, any allergy, who are taking other medications, children, during pregnancy and breast feeding. ', '•\r\n\r\n\r\n It may cause dizziness, do not drive a car or operate machinery while taking this medication. ', '•\r\n\r\n\r\n Avoid alcohol consumption. ', '•\r\n\r\n\r\n Avoid changing dose forms (eg, tablets, suspension) without your doctor’s advice. ', '•\r\n\r\n\r\n Take full course of treatment.\r\n\r\n']","['Acute Bronchitis', 'Cystitis', 'Gonorrhea', 'Tonsillitis', 'Urinary Tract Infection']","['\r\n\t\t\t', ' is an oral cephalosporin (third generation)  antibiotic, prescribed for gonorrhea, tonsilitis and pharyngitis.\xa0It works by fighting against the bacteria in the body.\r\n   \r\n\t\t\t  \r\n\t    \r\n\t\t\t  \r\n\t\t\t  \r\n\t', '\r\n', '\r\n\t', ""\r\n\t\r\nIndia is the world's capital for quality medicines, be it pharmaceutical formulations, herbal medicines or nutraceuticals. Our Pharma Division deals only with the best, GMP certified generics and branded medication for the export market. All our products are supported by strict adherence to quality and analysis certification."", ' ', '. ', '\r\n\t']",Tablet  ,['Store it at room temperature and in an airtight container. Keep away from children.'],"['It comes as a tablet, capsule and syrup to take by mouth, with food.']","[' It may reduce platelet counts, avoid injury or bruising. ', '\r\n\r\n\r\n Avoid any vaccination during the treatment.\r\n\r\n']"
"['•', ':\r\nDiarrhea, vaginal infections or inflammation, nausea,  and abdominal pain.\r\n', '\r\n•', ':\r\n\r\nIndigestion, flatulence, vomiting, abnormal stools, loss of appetite, constipation, dry mouth. ', '\r\n\r\n\r\n•', ':\r\n\r\n\r\nHeadache, dizziness, weakness, sleeplessness, drowsiness. ', '\r\n\r\n\r\n•', ':\r\n\r\nRash, itching. ', '\r\n\r\n\r\n•', ':\r\n\r\nFever, fungal infection, decrease in white blood cell, vaginal discharge. ', '\r\n\r\n\r\n•', ':\r\n Anaphylaxis; kidney and liver failure. ', '\r\n\r\n', '\r\n\r\n\t']", Cefdinir,['Bacirom O'],['Adult: PO- The recommended dose is 600 mg once daily.'],['79.00'],['Hypersensitivity.'],"['\r\n\t', ' Caution should be exercised in patients with history of penicillin-sensitivity, super infection; seizure,  diabetes, pseudomembranous colitis; pregnancy, lactation; liver or kidney disease.']","['Acute Bronchitis', 'Skin Disease', 'Strep Throat']","['\r\n\t\t\t', ' is a cephalosporin antibiotic, prescribed for pneumonia, acute exacerbations of chronic bronchitis, ENT and skin infections.\r\n\r\n\xa0It works by fighting against the bacteria in the body.\r\n   \r\n\t\t\t  \r\n\t    \r\n\t\t\t  \r\n\t\t\t  \r\n\t', '\r\n', '\r\n\t', ""\r\n\t\r\nIndia is the world's capital for quality medicines, be it pharmaceutical formulations, herbal medicines or nutraceuticals. Our Pharma Division deals only with the best, GMP certified generics and branded medication for the export market. All our products are supported by strict adherence to quality and analysis certification."", ' ', '. ', '\r\n\t']",Syrup   ,['Oral: Store at 25°C. Store it at room temperature and in an airtight container. Keep away from excess heat and moisture. \r\n\r\n\r\n'],"['It comes as a tablet and as an oral suspension to take by mouth, once or twice a day, with or without food.']",['Avoid excess dosage.']
[], Vitamin B2,['Bacil Plus'],[],['30.00'],[],[],[],"['\r\n\t\t\t\r\n Medindia currently has ', '  generic drugs and ', '  brands that have their prices listed. New drugs with their prices are listed as and when they get approved by the drug controller. Please do write to us (', ') if a drug is missing from our comprehensive drug price list.\r\n   \r\n\t\t\t  \r\n\t    \r\n\t\t\t  \r\n\t\t\t  \r\n\t', '\r\n', '\r\n\t', ""\r\n\t\r\nIndia is the world's capital for quality medicines, be it pharmaceutical formulations, herbal medicines or nutraceuticals. Our Pharma Division deals only with the best, GMP certified generics and branded medication for the export market. All our products are supported by strict adherence to quality and analysis certification."", ' ', '. ', '\r\n\t']",Tablet  ,[],[],[]
"['Skin rash, itching, redness and difficulty in breathing. ', '\r\n\r\n\t']", Folic Acid,['Bacil (5 mg)'],"[""Dose is based on patient's condition.""]",['15.00'],['Hypersensitivity.'],"['\r\n\t', '  Caution should be exercised in patients with history of long-term infection, seizure disorder, liver problems and kidney dialysis.\r\n\r\n\r\n']",[],"['\r\n\t\t\t', ' is a vitamin, prescribed for anemia due to vitamin C deficiency.\xa0It helps the body make healthy new cells.\r\n   \r\n\t\t\t  \r\n\t    \r\n\t\t\t  \r\n\t\t\t  \r\n\t', '\r\n', '\r\n\t', ""\r\n\t\r\nIndia is the world's capital for quality medicines, be it pharmaceutical formulations, herbal medicines or nutraceuticals. Our Pharma Division deals only with the best, GMP certified generics and branded medication for the export market. All our products are supported by strict adherence to quality and analysis certification."", ' ', '. ', '\r\n\t']",Tablet  ,['Store it at room temperature and away from direct sunlight (15-30°C).'],"['It comes as a tablet to take by mouth, with or without food.']",[' Avoid excess dosage. ']
['\r\n\r\n\t'], Metronidazole Oral,['Bacigyl -N (60 ml)'],[],['18.55'],[],[],[],"['\r\n\t\t\t\r\n Medindia currently has ', '  generic drugs and ', '  brands that have their prices listed. New drugs with their prices are listed as and when they get approved by the drug controller. Please do write to us (', ') if a drug is missing from our comprehensive drug price list.\r\n   \r\n\t\t\t  \r\n\t    \r\n\t\t\t  \r\n\t\t\t  \r\n\t', '\r\n', '\r\n\t', ""\r\n\t\r\nIndia is the world's capital for quality medicines, be it pharmaceutical formulations, herbal medicines or nutraceuticals. Our Pharma Division deals only with the best, GMP certified generics and branded medication for the export market. All our products are supported by strict adherence to quality and analysis certification."", ' ', '. ', '\r\n\t']",Suspension   ,[],[],[]
